acc	organisms	technology	platforms	samples
SRP106491	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR5504328,SRR5504327,SRR5504326,SRR5504325,SRR5504324,SRR5504323,SRR5504322,SRR5504321,SRR5504320,SRR5504319,SRR5504318,SRR5504317,SRR5504316,SRR5504315,SRR5504314,SRR5504313,SRR5504312,SRR5504311,SRR5504310,SRR5504309,SRR5504308,SRR5504307,SRR5504306,SRR5504305,SRR5504304,SRR5504303,SRR5504302,SRR5504301,SRR5504300,SRR5504299,SRR5504298,SRR5504297,SRR5504296,SRR5504295,SRR5504294,SRR5504293,SRR5504292,SRR5504291,SRR5504290,SRR5504289,SRR5504288,SRR5504287,SRR5504286,SRR5504285,SRR5504284,SRR5504283,SRR5504282,SRR5504281,SRR5504280,SRR5504279,SRR5504278,SRR5504277,SRR5504276,SRR5504275,SRR5504274,SRR5504273,SRR5504272,SRR5504271,SRR5504270,SRR5504269,SRR5504268,SRR5504267,SRR5504266,SRR5504265,SRR5504264,SRR5504263,SRR5504262,SRR5504261,SRR5504260,SRR5504259,SRR5504258,SRR5504257,SRR5504256,SRR5504255,SRR5504254,SRR5504253,SRR5504252,SRR5504251,SRR5504250,SRR5504249,SRR5504248,SRR5504247,SRR5504246,SRR5504245,SRR5504244,SRR5504243,SRR5504242,SRR5504241,SRR5504240,SRR5504239,SRR5504238,SRR5504237,SRR5504236,SRR5504235,SRR5504234,SRR5504233,SRR5504232,SRR5504231,SRR5504230,SRR5504229,SRR5504228,SRR5504227,SRR5504226,SRR5504225,SRR5504224,SRR5504223,SRR5504222,SRR5504221,SRR5504220,SRR5504219,SRR5504218,SRR5504217,SRR5504216,SRR5504215,SRR5504214,SRR5504213,SRR5504212
ERP103946	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP009331	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer II	SRR364449,SRR364448,SRR364447,SRR364446,SRR364445,SRR364444,SRR364443,SRR364442
SRP058066	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 1000	SRR2011860,SRR2011859,SRR2011858,SRR2011857,SRR2011856,SRR2011855,SRR2011854,SRR2011853,SRR2011852,SRR2011851,SRR2011850,SRR2011849,SRR2011848,SRR2011847,SRR2011846,SRR2011845,SRR2011844,SRR2011843,SRR2011842,SRR2011841,SRR2011840,SRR2011839,SRR2011838,SRR2011837,SRR2011836,SRR2011835,SRR2011834,SRR2011833,SRR2011832,SRR2011831,SRR2011830,SRR2011829,SRR2011828,SRR2011827,SRR2011826,SRR2011825,SRR2011824,SRR2011823,SRR2011822,SRR2011821,SRR2011820,SRR2011819,SRR2011818,SRR2011817,SRR2011816,SRR2011815,SRR2011814,SRR2011813,SRR2011812,SRR2011811,SRR2011810,SRR2011809,SRR2011808,SRR2011807,SRR2011806,SRR2011805,SRR2011804,SRR2011803,SRR2011802,SRR2011801,SRR2011800,SRR2011799,SRR2011798,SRR2011797,SRR2011796,SRR2011795,SRR2011794,SRR2011793,SRR2011792,SRR2011791,SRR2011790,SRR2011789,SRR2011788,SRR2011787,SRR2011786,SRR2011785,SRR2011784,SRR2011783,SRR2011782,SRR2011781,SRR2011780,SRR2011779,SRR2011778,SRR2011777,SRR2011776,SRR2011775,SRR2011774,SRR2011773,SRR2011772,SRR2011771,SRR2011770,SRR2011769,SRR2011768,SRR2011767,SRR2011766,SRR2011765,SRR2011764,SRR2011763,SRR2011762,SRR2011761,SRR2011760,SRR2011759,SRR2011758,SRR2011757,SRR2011756,SRR2011755,SRR2011754,SRR2011753,SRR2011752,SRR2011751,SRR2011750,SRR2011749,SRR2011748,SRR2011747,SRR2011746,SRR2011745,SRR2011744,SRR2011743,SRR2011742,SRR2011741,SRR2011740,SRR2011739,SRR2011738,SRR2011737,SRR2011736,SRR2011735,SRR2011734,SRR2011733,SRR2011732,SRR2011731,SRR2011730,SRR2011729,SRR2011728,SRR2011727,SRR2011726,SRR2011725,SRR2011724,SRR2011723,SRR2011722,SRR2011721,SRR2011720,SRR2011719,SRR2011718,SRR2011717,SRR2011716,SRR2011715,SRR2011714,SRR2011713,SRR2011712,SRR2011711,SRR2011710,SRR2011709,SRR2011708,SRR2011707,SRR2011706,SRR2011705,SRR2011704,SRR2011703,SRR2011702,SRR2011701,SRR2011700,SRR2011699,SRR2011698,SRR2011697,SRR2011696,SRR2011695,SRR2011694,SRR2011693,SRR2011692,SRR2011691
SRP045117	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP065852	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiScanSQ	NA
SRP084288	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP103792	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	NA
SRP079780	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP148889	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	NA
SRP084383	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	SRR4125064,SRR4125063,SRR4125062,SRR4125061,SRR4125060,SRR4125059,SRR4125058,SRR4125057,SRR4125056,SRR4125055,SRR4125054,SRR4125053,SRR4125052,SRR4125051,SRR4125050,SRR4125049,SRR4125048,SRR4125047,SRR4125046,SRR4125045,SRR4125044,SRR4125043,SRR4125042,SRR4125041,SRR4125040,SRR4125039,SRR4125038,SRR4125037,SRR4125036,SRR4125035,SRR4125034,SRR4125033
SRP075101	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
ERP108381	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP076227	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP063456	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer II	NA
ERP105365	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP107380	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR5576653,SRR5576652,SRR5576651,SRR5576650,SRR5576649,SRR5576648,SRR5576647,SRR5576646,SRR5576645,SRR5576644,SRR5576643,SRR5576642,SRR5576641,SRR5576640,SRR5576639,SRR5576638,SRR5576637,SRR5576636,SRR5576635,SRR5576634,SRR5576633,SRR5576632,SRR5576631,SRR5576630,SRR5576629,SRR5576628,SRR5576627,SRR5576626,SRR5576625,SRR5576624,SRR5576623,SRR5576622,SRR5576621,SRR5576620,SRR5576619,SRR5576618,SRR5576617,SRR5576616,SRR5576615
SRP091899	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR4436667,SRR4436666,SRR4436665,SRR4436664
SRP128552	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP076384	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP073355	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP087535	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP018407	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP068512	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR3106637,SRR3106636,SRR3106635,SRR3103845
ERP003265	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP110493	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP072725	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR3318878
SRP064019	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR2505874,SRR2491682
SRP110711	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP041920	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP005400	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer	SRR094781,SRR094780,SRR094779,SRR094778,SRR094777
SRP133752	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP066328	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	NA
SRP110710	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP125137	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP053358	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP079897	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP131305	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5990139,SRR5990138,SRR5990137,SRR5990136,SRR5990135,SRR5990134,SRR5990133,SRR5990132,SRR5990131,SRR5990130,SRR5990129,SRR5990128,SRR5990127,SRR5990126,SRR5990125,SRR5990124
SRP131756	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP115283	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP051850	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP033086	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR1030696,SRR1030695
SRP026340	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer II	NA
SRP042288	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP055430	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP043463	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer	SRR1427464,SRR1427463,SRR1427462
SRP052044	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP063747	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer II	SRR2426758,SRR2426757,SRR2426756,SRR2426755,SRR2426754,SRR2426753,SRR2426752,SRR2426751,SRR2426749,SRR2426748,SRR2426747,SRR2426746,SRR2426745,SRR2426744,SRR2426743
SRP057120	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
ERP104234	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP148772	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR7207536,SRR7207535,SRR7207534,SRR7207533,SRR7207532,SRR7207531,SRR7207530,SRR7207529,SRR7207528,SRR7207527,SRR7207526,SRR7207525,SRR7207524,SRR7207523,SRR7207522,SRR7207521,SRR7207520,SRR7207519,SRR7207518,SRR7207517,SRR7207516,SRR7207515,SRR7207514,SRR7207513,SRR7207512,SRR7207511,SRR7207510,SRR7207509,SRR7207508,SRR7207507,SRR7207506,SRR7207505,SRR7207504,SRR7207503,SRR7207502,SRR7207501,SRR7207500,SRR7207499,SRR7207498,SRR7207497,SRR7207496,SRR7207495,SRR7207494,SRR7207493,SRR7207492,SRR7207491,SRR7207490,SRR7207489,SRR7207488,SRR7207487,SRR7207486,SRR7207485,SRR7207484,SRR7207483,SRR7207482,SRR7207481,SRR7207480,SRR7207479,SRR7207478,SRR7207477,SRR7207476,SRR7207475,SRR7207474,SRR7207473,SRR7207472,SRR7207471,SRR7207470,SRR7207469,SRR7207468,SRR7207467,SRR7207466,SRR7207465,SRR7207464,SRR7207463,SRR7207462,SRR7207461,SRR7207460,SRR7207459,SRR7207458,SRR7207457,SRR7207456,SRR7207455,SRR7207454,SRR7207453,SRR7207452,SRR7207450,SRR7207449,SRR7207448,SRR7207447,SRR7207446,SRR7207445,SRR7207444,SRR7207443,SRR7207442,SRR7207441,SRR7207440,SRR7207439,SRR7207438,SRR7207437,SRR7207436,SRR7207435,SRR7207434,SRR7207433,SRR7207432,SRR7207431,SRR7207430,SRR7207429,SRR7207428,SRR7207427,SRR7207426,SRR7207425,SRR7207424,SRR7207423,SRR7207422,SRR7207421,SRR7207420,SRR7207419,SRR7207418,SRR7207417,SRR7207416,SRR7207415,SRR7207414,SRR7207413,SRR7207411,SRR7207410,SRR7207409,SRR7207408,SRR7207407,SRR7207406,SRR7207405,SRR7207404,SRR7207403,SRR7207402,SRR7207401,SRR7207400,SRR7207399,SRR7207398,SRR7207397
SRP067805	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 1500	NA
SRP095573	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	SRR6387489,SRR6387488,SRR6387487,SRR6387486,SRR5127248,SRR5127247,SRR5127246,SRR5127245,SRR5127244,SRR5127243,SRR5127242,SRR5127241,SRR5127240,SRR5127239,SRR5127238,SRR5127237
SRP059429	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	SRR2061395,SRR2061394,SRR2061393,SRR2061392,SRR2061391,SRR2061390,SRR2061389,SRR2061388,SRR2061387,SRR2061386,SRR2061385,SRR2061384
SRP132271	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	SRR6676319,SRR6676318,SRR6676317,SRR6676316,SRR6676315,SRR6676314,SRR6676313,SRR6676312,SRR6676311,SRR6676310,SRR6676309,SRR6676308,SRR6676307,SRR6676306,SRR6676305,SRR6676304
SRP069297	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR3144843,SRR3144842,SRR3144841,SRR3144840,SRR3144839,SRR3144838,SRR3144837,SRR3144836,SRR3144835,SRR3144834,SRR3144833,SRR3144832,SRR3144831,SRR3144830,SRR3144829,SRR3144828,SRR3144827,SRR3144826,SRR3144825,SRR3144824,SRR3144823,SRR3144822,SRR3144821,SRR3144820,SRR3144819,SRR3144818,SRR3144817,SRR3144816,SRR3144815,SRR3144814,SRR3144813,SRR3144812,SRR3144811,SRR3144810,SRR3144809
SRP106489	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR5504193,SRR5504192,SRR5504191,SRR5504190,SRR5504189,SRR5504188,SRR5504187,SRR5504186,SRR5504185,SRR5504184,SRR5504183,SRR5504182,SRR5504181,SRR5504180,SRR5504179,SRR5504178,SRR5504177,SRR5504176,SRR5504175,SRR5504174,SRR5504173,SRR5504172,SRR5504171,SRR5504170,SRR5504169,SRR5504168,SRR5504167,SRR5504166
SRP053407	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR1795733,SRR1795732,SRR1795731,SRR1795730,SRR1795729,SRR1795728
SRP002244	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer II	SRR039360,SRR039359,SRR039358,SRR039357,SRR039356,SRR039355,SRR039354,SRR039353
SRP072660	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	SRR3315920,SRR3315919,SRR3315918,SRR3315917,SRR3315916,SRR3315915
SRP059489	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR2062528,SRR2062527,SRR2062526,SRR2062525
SRP064344	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 1000	SRR2541164,SRR2541163,SRR2541162,SRR2541161,SRR2541160,SRR2541159,SRR2541158,SRR2541157,SRR2541156,SRR2541155,SRR2541154,SRR2541153
SRP002416	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer II	SRR042522,SRR042521,SRR042520,SRR042519,SRR042518,SRR042517,SRR042516,SRR042515,SRR042514,SRR042513,SRR042512,SRR042511,SRR042510,SRR042509,SRR042508,SRR042507,SRR042506,SRR042505,SRR042504,SRR042503,SRR042502,SRR042501,SRR042500,SRR042499
SRP013114	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR496788,SRR496787
SRP076389	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR3657488,SRR3657487,SRR3657486,SRR3657485,SRR3657484,SRR3657483,SRR3657482,SRR3657481
SRP097793	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5204200,SRR5204199,SRR5204198,SRR5204197,SRR5204196,SRR5204195,SRR5204194,SRR5204193,SRR5204192,SRR5204191,SRR5204190,SRR5204189,SRR5204188,SRR5204187,SRR5204186,SRR5204185,SRR5204184,SRR5204183,SRR5204182,SRR5204181
SRP045092	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR1572170,SRR1532673,SRR1532672,SRR1532671,SRR1532670,SRR1532669,SRR1532668,SRR1532667,SRR1532658,SRR1532657,SRR1532656,SRR1532655,SRR1532654,SRR1532653,SRR1532652,SRR1532651
SRP052238	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR1759372,SRR1759371,SRR1759370,SRR1759369,SRR1759368,SRR1759367,SRR1759366,SRR1759365,SRR1759364,SRR1759363
SRP101636	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5330425,SRR5330424,SRR5330423,SRR5330422,SRR5330421,SRR5330420,SRR5330419,SRR5330418,SRR5330417,SRR5330415,SRR5330414,SRR5330413,SRR5330412,SRR5330411,SRR5330410,SRR5330409,SRR5330408,SRR5330407
SRP125460	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR6315747,SRR6315746,SRR6315745,SRR6315744,SRR6315743,SRR6315742,SRR6315741,SRR6315740,SRR6315739,SRR6315738,SRR6315737,SRR6315736,SRR6315735,SRR6315734,SRR6315733,SRR6315732,SRR6315731,SRR6315730,SRR6315729,SRR6315728,SRR6315727,SRR6315726,SRR6315725,SRR6315724,SRR6315723,SRR6315722,SRR6315721,SRR6315720,SRR6315719,SRR6315718,SRR6315717,SRR6315716,SRR6315715,SRR6315714,SRR6315713,SRR6315712
SRP059729	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR2072561,SRR2072560,SRR2072559
SRP034868	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	SRR1067740,SRR1067739,SRR1067738,SRR1067737,SRR1067736,SRR1067735,SRR1067734,SRR1067733,SRR1067732,SRR1067731,SRR1067730,SRR1067729,SRR1067728,SRR1067727,SRR1067726,SRR1067725,SRR1067724,SRR1067723
SRP153149	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	SRR7513743,SRR7513742,SRR7513741,SRR7513740,SRR7513739,SRR7513738,SRR7513737,SRR7513736,SRR7513735,SRR7513734,SRR7513733,SRR7513732,SRR7513731,SRR7513730,SRR7513729,SRR7513728,SRR7513727,SRR7513726,SRR7513725,SRR7513724,SRR7513723,SRR7513722,SRR7513721,SRR7513720,SRR7513719,SRR7513718,SRR7513717,SRR7513716,SRR7513715,SRR7513714
ERP004227	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	ERR361790,ERR361789,ERR361788,ERR361787,ERR361786,ERR361785,ERR361784,ERR361783
SRP103000	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	SRR5412901,SRR5412900,SRR5412899,SRR5412898,SRR5412897,SRR5412896,SRR5412895,SRR5412894,SRR5412893,SRR5412892,SRR5412891,SRR5412890,SRR5412889,SRR5412888,SRR5412887,SRR5412886,SRR5412885,SRR5412884,SRR5412883,SRR5412882,SRR5412881,SRR5412880,SRR5412879,SRR5412878,SRR5412877,SRR5412876,SRR5412875,SRR5412874,SRR5412873,SRR5412872,SRR5412871,SRR5412870,SRR5412869,SRR5412868,SRR5412867,SRR5412866,SRR5412865,SRR5412864,SRR5412863
SRP078248	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR3825172,SRR3825171,SRR3825170,SRR3825169,SRR3825168,SRR3825167,SRR3825166,SRR3825165,SRR3825164,SRR3825163,SRR3825162,SRR3825161
SRP100621	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5280358,SRR5280357,SRR5280356,SRR5280355,SRR5280354,SRR5280353,SRR5280352,SRR5280351,SRR5280350,SRR5280349,SRR5280348,SRR5280347,SRR5280346,SRR5280345,SRR5280344,SRR5280343,SRR5280342,SRR5280341,SRR5280340,SRR5280339,SRR5280338,SRR5280337,SRR5280336,SRR5280335,SRR5280334,SRR5280333,SRR5280332,SRR5280331,SRR5280330,SRR5280329,SRR5280328,SRR5280327,SRR5280326,SRR5280325,SRR5280324
SRP019984	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer	NA
SRP115258	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP071731	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR3223741
SRP017598	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	NA
SRP093962	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5057205,SRR5057204,SRR5057199,SRR5057198,SRR5057197,SRR5057196,SRR5057188,SRR5057186
SRP066646	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer	NA
SRP126787	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR6377160,SRR6377159,SRR6377158,SRR6377157,SRR6377156,SRR6377155
SRP028251	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR955434,SRR955433,SRR955432,SRR955431
SRP072115	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR3270972
SRP113121	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	NA
SRP094913	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq4000,Illumina HiSeq 4000	NA
SRP076539	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaHiSeq2500,Illumina HiSeq 2500	NA
SRP067088	RATTUS_NORVEGICUS	RNA-SEQ	IonTorrentProton,Ion Torrent Proton	NA
SRP049326	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP108626	RATTUS_NORVEGICUS	RNA-SEQ	IonTorrentProton,Ion Torrent Proton	NA
SRP059653	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
