acc	organisms	technology	platforms	samples
SRP035620	RATTUS_NORVEGICUS	RNA-SEQ	IlluminaGenomeAnalyzerII,Illumina Genome Analyzer II	SRR1141020,SRR1141019,SRR1141018,SRR1141017,SRR1141016,SRR1141015,SRR1141014,SRR1141013
SRP095173	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP023266	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,IlluminaHiSeq2000	NA
SRP132230	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	SRR6678065,SRR6678064,SRR6678063,SRR6678062,SRR6678061,SRR6675840,SRR6675839,SRR6675838,SRR6675837,SRR6675836,SRR6675310,SRR6675309,SRR6675308,SRR6675307,SRR6675306
SRP075016	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR3529525,SRR3529523,SRR3529521,SRR3529499,SRR3504458,SRR3501860
SRP072027	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP062655	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000,Illumina HiSeq 2500	NA
ERP023266	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP096681	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	NA
SRP094507	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	NA
SRP078493	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP070841	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR3189371,SRR3189370,SRR3189369,SRR3189368,SRR3189367,SRR3189366
SRP046248	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR1566577,SRR1566576,SRR1566575,SRR1566574,SRR1566573,SRR1566572
SRP056012	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP048635	RATTUS_NORVEGICUS	RNA-SEQ	Ion Torrent Proton	NA
SRP116102	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
ERP002602	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP102080	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
ERP105017	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP046247	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP074067	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP082129	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	NA
SRP063995	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer	NA
SRP074370	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR3476025,SRR3476024,SRR3476021
SRP075513	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP104261	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP115386	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP098807	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP111525	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP137634	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP150738	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP044684	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP010822	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer II	SRR407180,SRR407179
SRP095829	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP064990	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR2733820
SRP100796	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP052721	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR1768444,SRR1768443,SRR1768421
SRP124934	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP045658	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP021119	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP080004	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	SRR3957263,SRR3957262,SRR3957261,SRR3957260
SRP090991	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP118086	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP150003	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP052301	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP059752	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR2073152,SRR2073151,SRR2073150,SRR2073149,SRR2073148,SRR2073147
SRP075804	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP035458	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP063362	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP070695	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP091399	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP055990	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 1000	NA
SRP131475	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP066787	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP029005	RATTUS_NORVEGICUS	RNA-SEQ	Illumina Genome Analyzer IIx	NA
SRP118126	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
